conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_tweet,sentiment_label
1782964565803725165,Wed Apr 24 02:47:33 +0000 2024,293, We still Mourn Nagakado Toranaga - Thankfully I have more sons . #ShogunFinale #shogun #ShogunFX https://t.co/32m4mGnpZn,1782964565803725165,https://pbs.twimg.com/tweet_video_thumb/GL5c0fiWwAAYfsO.jpg,,en,Bingetown,1,5,28,https://twitter.com/bingetowntvpod/status/1782964565803725165,1202046322326614017,bingetowntvpod, We still Mourn Nagakado Toranaga  Thankfully I have more sons  ShogunFinale shogun ShogunFX ,LABEL_1
1784407453905371260,Sun Apr 28 02:21:04 +0000 2024,761,Freakin mannequin when you drink gray stuff (He is so aggressive ) #Regretevator #regretevatorfanart https://t.co/Jrd2NWhR7M,1784407453905371260,https://pbs.twimg.com/media/GMN9HiTXwAAVENW.jpg,,en,Chile,1,3,132,https://twitter.com/Shogun_daisu/status/1784407453905371260,1004552531387838465,Shogun_daisu,Freakin mannequin when you drink gray stuff He is so aggressive  Regretevator regretevatorfanart ,LABEL_1
1782709619644903806,Tue Apr 23 09:54:29 +0000 2024,19,a perfect show with a perfect finale I'm absolutely in awe of the writers. what a work of art this was!! #Shogun https://t.co/WzbGmv3uQ1,1782709619644903806,https://pbs.twimg.com/tweet_video_thumb/GL108c2bgAA4gAE.jpg,,en,she/her / 20 ,0,1,2,https://twitter.com/mstkiii/status/1782709619644903806,874953645271502848,mstkiii,a perfect show with a perfect finale Im absolutely in awe of the writers what a work of art this was Shogun ,LABEL_1
1782150192281620594,Sun Apr 21 20:51:31 +0000 2024,88, For when you have no words and you just need something to hold onto. And then Mariko takes John's hand when she needs something to hold onto. He became her solace. I'M NOT OKAY. #Shogun https://t.co/I0uKUpiacG,1782150192281620594,https://pbs.twimg.com/media/GLt3_DXXsAA1shT.jpg,,en,,2,1,16,https://twitter.com/AtheistjLiz/status/1782150192281620594,2490008731,AtheistjLiz, For when you have no words and you just need something to hold onto And then Mariko takes Johns hand when she needs something to hold onto He became her solace IM NOT OKAY Shogun ,LABEL_1
1782924830968287459,Wed Apr 24 00:09:39 +0000 2024,543,I just finished the final episode of FX's #Shogun. And that was a hell of a finale! This series has been such a beautiful experience to behold. Hiroyuki Sanada continues to be one of the BEST in the industry. And everyone involved absolutely brought their A-game! #ShogunFX https://t.co/DdqFKylVZa,1782924830968287459,https://pbs.twimg.com/media/GL44rH9WgAAvak0.jpg,,en,Somewhere in Multiverse ,2,9,60,https://twitter.com/0fficialPME/status/1782924830968287459,716122349649719296,0fficialPME,I just finished the final episode of FXs Shogun And that was a hell of a finale This series has been such a beautiful experience to behold Hiroyuki Sanada continues to be one of the BEST in the industry And everyone involved absolutely brought their Agame ShogunFX ,LABEL_1
1783609427301388333,Thu Apr 25 21:29:59 +0000 2024,1524,Inside you are there are two wolves https://t.co/p08xpeOd8w,1783609427301388333,https://pbs.twimg.com/media/GMCnUpMXEAAdlKK.jpg,,en,🇬🇧,0,7,86,https://twitter.com/EggrollShogun/status/1783609427301388333,161441462,EggrollShogun,Inside you are there are two wolves ,LABEL_1
1782647262402814012,Tue Apr 23 05:46:41 +0000 2024,292,Shogun made one thing clear in this episode and that is that Mariko was the heart and soul of this series. #ShogunFX #Shogun https://t.co/uAyT2bnjw3,1782647262402814012,https://pbs.twimg.com/tweet_video_thumb/GL08PAHXYAAVCm9.jpg,,en,"New Orleans, LA",3,1,32,https://twitter.com/KingJordan_57/status/1782647262402814012,2829141197,KingJordan_57,Shogun made one thing clear in this episode and that is that Mariko was the heart and soul of this series ShogunFX Shogun ,LABEL_1
1783132020551393421,Wed Apr 24 13:52:57 +0000 2024,326,I'm so glad Hiroyuki Sanada is being praised for his work in #Shogun (#ShogunFX) but it's a damn shame that he has only started getting this kind of recognition recently when he has been COOKING since the 80s-90s! https://t.co/e4fwkhAgcf,1783132020551393421,https://pbs.twimg.com/tweet_video_thumb/GL71HrTXkAAJHn_.jpg,,en,,2,10,22,https://twitter.com/BAMTubeBrett/status/1783132020551393421,1000188720887271425,BAMTubeBrett,Im so glad Hiroyuki Sanada is being praised for his work in Shogun ShogunFX but its a damn shame that he has only started getting this kind of recognition recently when he has been COOKING since the 80s90s ,LABEL_1
1784307965463257128,Sat Apr 27 19:45:44 +0000 2024,784, We live and we die. We control nothing beyond that. Shōgun | S01 https://t.co/gJaSFt6LKz,1784307965463257128,https://pbs.twimg.com/media/GMMiotrW4AA8zG9.jpg,,en,,4,1,109,https://twitter.com/justashottt_/status/1784307965463257128,1607781580310716417,justashottt_, We live and we die We control nothing beyond that Shōgun  S01 ,LABEL_1
1781448895756980239,Fri Apr 19 22:24:49 +0000 2024,27585,#Shogun E9 was the highest-rated episode yet on IMDb with 9.6 https://t.co/ziID7JcqMJ,1781448895756980239,https://pbs.twimg.com/media/GLjzj_wbkAApVXh.jpg,,en,Turn on post notifications 🔔,864,251,2683,https://twitter.com/CultureCrave/status/1781448895756980239,1115495508519182336,CultureCrave,Shogun E9 was the highestrated episode yet on IMDb with 96 ,LABEL_1
